iter	Passed	Remaining
0	0	400
1	1	369
2	1	358
3	1	356
4	2	359
5	3	361
6	3	358
7	3	353
8	4	350
9	4	353
10	5	351
11	5	352
12	6	350
13	6	350
14	7	379
15	8	377
16	8	375
17	9	373
18	9	372
19	10	372
20	11	373
21	11	372
22	12	370
23	12	368
24	13	366
25	13	364
26	13	362
27	14	360
28	14	360
29	15	360
30	15	359
31	16	358
32	16	356
33	17	355
34	17	354
35	18	355
36	19	357
37	19	359
38	20	360
39	20	359
40	21	358
41	21	358
42	22	357
43	22	356
44	23	357
45	24	356
46	24	355
47	24	353
48	25	353
49	26	353
50	26	352
51	27	352
52	27	352
53	28	351
54	28	351
55	29	350
56	29	349
57	30	349
58	30	348
59	31	349
60	32	356
61	33	355
62	33	354
63	34	353
64	34	352
65	35	351
66	35	351
67	36	350
68	36	350
69	37	350
70	37	349
71	38	349
72	38	348
73	39	347
74	40	349
75	40	348
76	41	348
77	41	347
78	42	346
79	42	346
80	43	346
81	43	345
82	44	344
83	44	344
84	45	343
85	45	343
86	46	342
87	46	341
88	47	342
89	48	342
90	48	342
91	49	341
92	49	340
93	50	340
94	50	339
95	51	339
96	51	338
97	52	337
98	52	336
99	53	336
100	54	336
101	54	335
102	55	334
103	55	335
104	56	335
105	57	334
106	57	334
107	58	333
108	58	332
109	59	331
110	59	330
111	59	329
112	60	329
113	60	328
114	61	327
115	61	326
116	62	326
117	62	325
118	64	328
119	64	328
120	65	327
121	65	327
122	66	326
123	66	325
124	67	325
125	67	324
126	68	323
127	69	323
128	69	323
129	70	322
130	70	321
131	71	320
132	71	320
133	72	321
134	72	320
135	73	320
136	74	319
137	74	319
138	75	318
139	75	317
140	76	317
141	76	317
142	77	316
143	77	315
144	78	315
145	78	314
146	79	313
147	80	314
148	80	313
149	81	312
150	81	312
151	83	314
152	83	313
153	84	313
154	84	313
155	85	312
156	85	312
157	86	311
158	86	311
159	87	310
160	88	312
161	89	311
162	89	311
163	90	310
164	90	309
165	91	309
166	91	308
167	92	307
168	92	307
169	93	306
170	93	305
171	94	304
172	94	304
173	95	303
174	95	303
175	96	302
176	97	302
177	97	301
178	98	300
179	98	300
180	99	299
181	99	299
182	100	298
183	100	297
184	101	296
185	101	296
186	102	295
187	102	294
188	103	294
189	103	293
190	104	293
191	104	293
192	105	292
193	106	292
194	106	291
195	107	290
196	107	289
197	108	289
198	108	288
199	109	287
200	109	287
201	110	286
202	111	287
203	112	289
204	113	288
205	113	287
206	114	287
207	114	286
208	114	285
209	115	284
210	116	284
211	116	283
212	116	282
213	117	282
214	117	281
215	118	280
216	119	280
217	119	279
218	120	279
219	120	278
220	121	278
221	121	277
222	122	277
223	122	276
224	123	277
225	124	276
226	124	275
227	125	275
228	126	274
229	126	274
230	127	273
231	127	272
232	128	272
233	129	272
234	129	271
235	129	270
236	130	270
237	130	269
238	131	268
239	131	268
240	132	267
241	132	267
242	133	266
243	134	265
244	134	265
245	135	264
246	135	263
247	136	263
248	136	263
249	137	262
250	137	262
251	138	261
252	139	260
253	139	260
254	140	259
255	140	259
256	141	258
257	141	258
258	142	257
259	142	256
260	143	256
261	143	255
262	144	254
263	144	254
264	145	254
265	145	253
266	146	252
267	146	252
268	147	251
269	147	251
270	148	250
271	148	249
272	149	249
273	149	248
274	150	247
275	150	247
276	151	246
277	151	245
278	152	245
279	152	244
280	153	244
281	154	243
282	154	242
283	154	242
284	155	241
285	155	240
286	156	240
287	156	239
288	157	238
289	157	238
290	158	237
291	158	236
292	159	236
293	159	235
294	160	235
295	161	235
296	161	234
297	162	233
298	162	233
299	163	232
300	163	232
301	164	231
302	164	231
303	165	230
304	166	230
305	166	230
306	168	230
307	169	230
308	169	229
309	170	229
310	170	228
311	170	227
312	171	227
313	171	226
314	172	226
315	172	225
316	173	224
317	173	224
318	174	223
319	174	222
320	175	222
321	175	221
322	176	221
323	177	220
324	177	220
325	178	219
326	178	219
327	179	218
328	179	217
329	180	217
330	180	216
331	181	215
332	181	215
333	182	214
334	182	214
335	183	213
336	183	213
337	184	212
338	184	211
339	185	211
340	185	211
341	186	210
342	186	209
343	187	209
344	188	208
345	188	208
346	189	207
347	189	207
348	190	206
349	190	205
350	191	205
351	191	204
352	192	204
353	192	203
354	193	203
355	193	202
356	195	202
357	195	202
358	196	201
359	196	201
360	197	200
361	197	200
362	198	199
363	198	198
364	199	198
365	199	197
366	200	197
367	200	196
368	201	195
369	202	195
370	202	194
371	203	194
372	203	193
373	204	193
374	204	192
375	205	192
376	205	191
377	206	191
378	207	190
379	207	190
380	208	189
381	208	189
382	210	189
383	210	188
384	211	188
385	211	187
386	212	186
387	212	186
388	213	185
389	213	185
390	214	184
391	214	184
392	215	183
393	215	182
394	216	182
395	217	182
396	217	181
397	218	181
398	218	180
399	220	180
400	220	179
401	221	179
402	221	178
403	222	178
404	222	177
405	223	176
406	224	176
407	225	176
408	225	175
409	226	175
410	226	174
411	227	174
412	227	173
413	228	173
414	228	172
415	229	171
416	229	171
417	230	170
418	230	170
419	231	169
420	231	169
421	232	168
422	232	167
423	233	167
424	234	166
425	234	166
426	235	165
427	235	165
428	236	164
429	236	164
430	237	163
431	237	162
432	238	162
433	238	161
434	239	161
435	239	160
436	240	159
437	240	159
438	241	158
439	241	158
440	242	157
441	242	157
442	243	156
443	243	155
444	244	155
445	244	154
446	245	154
447	246	153
448	246	153
449	246	152
450	247	152
451	248	151
452	248	150
453	249	150
454	249	149
455	250	149
456	250	148
457	251	148
458	251	147
459	252	147
460	252	146
461	253	145
462	253	145
463	254	144
464	254	144
465	255	143
466	256	143
467	256	142
468	257	142
469	258	141
470	258	141
471	259	140
472	259	140
473	260	139
474	260	138
475	261	138
476	261	137
477	262	137
478	262	136
479	263	136
480	264	135
